review_target_id,penginapan_id,name,property_type,latitude,longitude,overall_rating,reviews_existing,review_confidence_label,review_scrape_priority,data_quality_score,has_final_child_listing,final_child_count,name_looks_detail_listing,target_review_note,google_maps_search_query,google_maps_search_url,source_dataset,flag_group,flag_reason,suggested_action,split_status,split_reason,manual_decision,manual_note,final_target_status,final_ready_source,final_ready_reason,review_group_for_claude,audit_recommendation,parent_candidate_id,parent_candidate_name,parent_candidate_property_type,parent_candidate_distance_km,parent_candidate_name_ratio,parent_candidate_token_score,parent_candidate_score,decision_group,decision_status,decision_reason,claude_decision,claude_evidence_url,claude_reason,final_decision,final_group,final_reason,final_decision_source,test_batch_name
PHREV-20260605-0126,LODGE-00861,Apartemen Emerald Tower,apartment,-6.9325,107.6643,3.8,559,high_review_confidence,high_review_confidence,1.0,False,0,False,parent_target,"Apartemen Emerald Tower -6.9325,107.6643",https://www.google.com/maps/search/?api=1&query=Apartemen%20Emerald%20Tower%20-6.9325%2C107.6643,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,,,,ready,Tidak masuk kelompok detail-name yang perlu ditahan.,,,ready,initial_ready,Lolos split awal dan tidak masuk keputusan exclude final.,,,,,,,,,,,,,,,,,,,,prescraping_test_batch_30
PHREV-20260605-0076,LODGE-01119,Collection O Riau Near Trans Studio Bandung Formerly Asteria Hotel,apartment,-6.9281,107.6214,3.8,377,high_review_confidence,high_review_confidence,0.95,False,0,False,parent_target,"Collection O Riau Near Trans Studio Bandung Formerly Asteria Hotel -6.9281,107.6214",https://www.google.com/maps/search/?api=1&query=Collection%20O%20Riau%20Near%20Trans%20Studio%20Bandung%20Formerly%20Asteria%20Hotel%20-6.9281%2C107.6214,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,,,,ready,Tidak masuk kelompok detail-name yang perlu ditahan.,,,ready,initial_ready,Lolos split awal dan tidak masuk keputusan exclude final.,,,,,,,,,,,,,,,,,,,,prescraping_test_batch_30
PHREV-20260605-0036,LODGE-01446,Gateway Apartment Cicadas by DB Property,apartment,-6.9067,107.6446,4.2,284,high_review_confidence,high_review_confidence,0.8,False,0,False,parent_target,"Gateway Apartment Cicadas by DB Property -6.9067,107.6446",https://www.google.com/maps/search/?api=1&query=Gateway%20Apartment%20Cicadas%20by%20DB%20Property%20-6.9067%2C107.6446,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,,,,ready,Tidak masuk kelompok detail-name yang perlu ditahan.,,,ready,initial_ready,Lolos split awal dan tidak masuk keputusan exclude final.,,,,,,,,,,,,,,,,,,,,prescraping_test_batch_30
PHREV-20260605-0161,LODGE-01257,High Livin Apartment Asia Afrika,apartment,-6.9239,107.6177,3.8,810,high_review_confidence,high_review_confidence,0.9,False,0,False,parent_target,"High Livin Apartment Asia Afrika -6.9239,107.6177",https://www.google.com/maps/search/?api=1&query=High%20Livin%20Apartment%20Asia%20Afrika%20-6.9239%2C107.6177,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,,,,ready,Tidak masuk kelompok detail-name yang perlu ditahan.,,,ready,initial_ready,Lolos split awal dan tidak masuk keputusan exclude final.,,,,,,,,,,,,,,,,,,,,prescraping_test_batch_30
PHREV-20260605-0331,LODGE-01616,Ibis Bandung Trans Studio Hotel,apartment,-6.9273,107.6364,4.5,14489,high_review_confidence,high_review_confidence,0.6,False,0,False,parent_target,"Ibis Bandung Trans Studio Hotel -6.9273,107.6364",https://www.google.com/maps/search/?api=1&query=Ibis%20Bandung%20Trans%20Studio%20Hotel%20-6.9273%2C107.6364,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,,,,ready,Tidak masuk kelompok detail-name yang perlu ditahan.,,,ready,initial_ready,Lolos split awal dan tidak masuk keputusan exclude final.,,,,,,,,,,,,,,,,,,,,prescraping_test_batch_30
PHREV-20260605-0087,LODGE-01018,Reddoorz Near Trans Studio Mall 2,apartment,-6.9314,107.6243,4.2,403,high_review_confidence,high_review_confidence,1.0,False,0,False,parent_target,"Reddoorz Near Trans Studio Mall 2 -6.9314,107.6243",https://www.google.com/maps/search/?api=1&query=Reddoorz%20Near%20Trans%20Studio%20Mall%202%20-6.9314%2C107.6243,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,,,,ready,Tidak masuk kelompok detail-name yang perlu ditahan.,,,ready,initial_ready,Lolos split awal dan tidak masuk keputusan exclude final.,,,,,,,,,,,,,,,,,,,,prescraping_test_batch_30
PHREV-20260605-0017,LODGE-01322,The Jarrdin Apartment Hotels by Ironman,apartment,-6.8923,107.605,4.2,236,high_review_confidence,high_review_confidence,0.9,False,0,False,parent_target,"The Jarrdin Apartment Hotels by Ironman -6.8923,107.605",https://www.google.com/maps/search/?api=1&query=The%20Jarrdin%20Apartment%20Hotels%20by%20Ironman%20-6.8923%2C107.605,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,,,,ready,Tidak masuk kelompok detail-name yang perlu ditahan.,,,ready,initial_ready,Lolos split awal dan tidak masuk keputusan exclude final.,,,,,,,,,,,,,,,,,,,,prescraping_test_batch_30
PHREV-20260605-0230,LODGE-01341,Are You and I - Bed & Breakfast Bandung,guest_house,-6.8858,107.6496,4.6,1887,high_review_confidence,high_review_confidence,0.85,False,0,False,parent_target,"Are You and I - Bed & Breakfast Bandung -6.8858,107.6496",https://www.google.com/maps/search/?api=1&query=Are%20You%20and%20I%20-%20Bed%20%26%20Breakfast%20Bandung%20-6.8858%2C107.6496,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,,,,ready,Tidak masuk kelompok detail-name yang perlu ditahan.,,,ready,initial_ready,Lolos split awal dan tidak masuk keputusan exclude final.,,,,,,,,,,,,,,,,,,,,prescraping_test_batch_30
PHREV-20260605-0164,LODGE-00870,Bantal Guling Guest House Alun-alun Bandung,guest_house,-6.932,107.6065,4.1,821,high_review_confidence,high_review_confidence,1.0,False,0,False,parent_target,"Bantal Guling Guest House Alun-alun Bandung -6.932,107.6065",https://www.google.com/maps/search/?api=1&query=Bantal%20Guling%20Guest%20House%20Alun-alun%20Bandung%20-6.932%2C107.6065,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,,,,ready,Tidak masuk kelompok detail-name yang perlu ditahan.,,,ready,initial_ready,Lolos split awal dan tidak masuk keputusan exclude final.,,,,,,,,,,,,,,,,,,,,prescraping_test_batch_30
PHREV-20260605-0194,LODGE-00871,Bantal Guling Guesthouse Trans,guest_house,-6.9304,107.6393,3.8,1160,high_review_confidence,high_review_confidence,1.0,True,4,False,parent_target,"Bantal Guling Guesthouse Trans -6.9304,107.6393",https://www.google.com/maps/search/?api=1&query=Bantal%20Guling%20Guesthouse%20Trans%20-6.9304%2C107.6393,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,,,,ready,Tidak masuk kelompok detail-name yang perlu ditahan.,,,ready,initial_ready,Lolos split awal dan tidak masuk keputusan exclude final.,,,,,,,,,,,,,,,,,,,,prescraping_test_batch_30
